Model,MDO4014B-3
Firmware Version,3.20

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.2
Horizontal Delay,1.5
Sample Interval,2e-05
Record Length,100000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.5
Vertical Position,1.4
,
,
,
Label,
TIME,CH1
5.125000e-01,-0.24
5.125200e-01,0.3
5.125400e-01,0.58
5.125600e-01,0.4
5.125800e-01,-0.1
5.126000e-01,-0.44
5.126200e-01,-0.36
5.126400e-01,0.1
5.126600e-01,0.46
5.126800e-01,0.32
5.127000e-01,-0.08
5.127200e-01,-0.22
5.127400e-01,0.04
5.127600e-01,0.24
5.127800e-01,-0.02
5.128000e-01,-0.32
5.128200e-01,-0.26
5.128400e-01,0.04
5.128600e-01,0.34
5.128800e-01,0.44
5.129000e-01,0.26
5.129200e-01,-0.22
5.129400e-01,-0.6
5.129600e-01,-0.44
5.129800e-01,0.1
5.130000e-01,0.56
5.130200e-01,0.54
5.130400e-01,0.08
5.130600e-01,-0.34
5.130800e-01,-0.34
5.131000e-01,-1.11022e-16
5.131200e-01,0.1
5.131400e-01,-0.08
5.131600e-01,-0.14
5.131800e-01,0.06
5.132000e-01,0.46
5.132200e-01,0.62
5.132400e-01,0.3
5.132600e-01,-0.38
5.132800e-01,-0.8
5.133000e-01,-0.72
5.133200e-01,0.04
5.133400e-01,0.78
5.133600e-01,0.84
5.133800e-01,0.38
5.134000e-01,-0.34
5.134200e-01,-0.76
5.134400e-01,-0.8
5.134600e-01,-0.22
5.134800e-01,0.46
5.135000e-01,0.76
5.135200e-01,0.68
5.135400e-01,0.12
5.135600e-01,-0.56
5.135800e-01,-0.82
5.136000e-01,-0.46
5.136200e-01,0.36
5.136400e-01,0.78
5.136600e-01,0.58
5.136800e-01,-0.02
5.137000e-01,-0.56
5.137200e-01,-0.54
5.137400e-01,-0.12
5.137600e-01,0.52
5.137800e-01,0.56
5.138000e-01,0.08
5.138200e-01,-0.36
5.138400e-01,-0.28
5.138600e-01,0.06
5.138800e-01,0.18
5.139000e-01,0.14
5.139200e-01,-1.11022e-16
5.139400e-01,-0.18
5.139600e-01,-0.26
5.139800e-01,-0.14
5.140000e-01,0.06
5.140200e-01,0.2
5.140400e-01,0.28
5.140600e-01,0.3
5.140800e-01,-0.04
5.141000e-01,-0.22
5.141200e-01,-0.18
5.141400e-01,0.1
5.141600e-01,0.22
5.141800e-01,-0.06
5.142000e-01,-0.38
5.142200e-01,-0.48
5.142400e-01,0.04
5.142600e-01,0.58
5.142800e-01,0.6
5.143000e-01,0.12
5.143200e-01,-0.38
5.143400e-01,-0.5
5.143600e-01,-0.18
5.143800e-01,0.28
5.144000e-01,0.28
5.144200e-01,0.04
5.144400e-01,-0.2
5.144600e-01,-0.18
5.144800e-01,0.12
5.145000e-01,0.24
5.145200e-01,0.04
5.145400e-01,-0.12
5.145600e-01,-0.14
5.145800e-01,-0.02
5.146000e-01,0.24
5.146200e-01,0.32
5.146400e-01,-0.12
5.146600e-01,-0.58
5.146800e-01,-0.52
5.147000e-01,0.08
5.147200e-01,0.7
5.147400e-01,0.8
5.147600e-01,0.16
